entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,urlIsLive,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,ext,dsr,dse,sscr,sbr,bscr,num_%20,num_@,has_ip,Class
-4.737663586,6,93,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,htmlposted:,0,0,0,0,0,0,0,0,normal_url
-4.271361916,0,82,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,othe,0,0,0,0,0,0,0,0,normal_url
-4.064323519,0,45,0,TRUE,FALSE,FALSE,3916,5,5,97,1641,929,htmarticle,0,0,1.766415501,0.419050051,0.237231869,0,0,0,normal_url
-4.628107004,14,91,1,TRUE,FALSE,FALSE,245930,2,1,33,205833,53631,html?21&emceta18pagewantedprintjuly,0,0,3.837948202,0.836957671,0.218074249,0,0,0,normal_url
-4.609637819,8,69,0,TRUE,FALSE,FALSE,188680,5,1,16,2121,40544,pdffor,0,0,0.052313536,0.011241255,0.21488234,0,0,0,normal_url
-4.850750686,40,126,0,TRUE,FALSE,FALSE,20689,18,2,286,12296,4248,htmlfinancial,0,0,2.894538606,0.594325487,0.205326502,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.38635575,3,87,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.135234743,2,44,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,com,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.668790751,11,107,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,png);,0,0,0,0,0,0,0,0,normal_url
-4.673372293,11,107,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,png);,0,0,0,0,0,0,0,0,normal_url
-4.060262039,0,27,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,normal_url
-4.307159267,12,47,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,nowyorkenconlirep2rtin08130,0,0,0,0,0,0,0,0,normal_url
-4.561114995,14,113,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html,0,0,0,0,0,0,0,0,normal_url
-4.178833068,3,55,0,TRUE,FALSE,FALSE,170,1,0,0,0,32,php?id155photo,0,0,0,0,0.188235294,0,0,0,normal_url
-4.716672782,19,95,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,jpgclassificat1on:unclassified,0,0,0,0,0,0,0,0,normal_url
-4.475266274,11,102,0,TRUE,FALSE,FALSE,12797,6,2,41,9869,3430,com,0,0,2.877259475,0.771196374,0.26803157,0,0,0,normal_url
-4.664735179,25,60,0,TRUE,FALSE,FALSE,4987,3,2,50,3734,1310,htmlclegg:,0,0,2.850381679,0.748746742,0.262682976,0,0,0,normal_url
-4.754515262,9,129,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,html#ixzz0zf4asfqi,0,0,0,0,0,0,0,0,normal_url
